publication_id	publication	time	time_slice_id	type	subfield_id	subdomain_id
289	ARMSTRON_1977_J_396	1977	0	ARTICLE	4	2
290	BANDURA_1977_P_191	1977	0	ARTICLE	4	3
291	BLAU_1977_A_26	1977	0	ARTICLE	1	3
292	BRONFENB_1977_A_513	1977	0	ARTICLE	1	4
293	BURT_1977_S_106	1977	0	ARTICLE	1	2
294	COHEN_1977_S_227	1977	0	ARTICLE	4	2
295	COOK_1977_S_62	1977	0	ARTICLE	1	0
296	DEAN_1977_J_403	1977	0	ARTICLE	4	4
297	DEMPSTER_1977_J_1	1977	0	ARTICLE	2	4
298	DEROGATI_1977_J_981	1977	0	ARTICLE	4	4
299	EDSTROM_1977_A_248	1977	0	ARTICLE	1	0
300	FLANAGAN_1977_S_7	1977	0	ARTICLE	2	0
301	FREEMAN_1977_S_35	1977	0	ARTICLE	4	2
302	HANNAN_1977_A_929	1977	0	ARTICLE	1	0
303	HENDERSO_1977_B_185	1977	0	ARTICLE	4	4
304	HOLLAND_1977_J_5	1977	0	ARTICLE	2	2
305	HOLLAND_1977_Z_386	1977	0	ARTICLE	1	2
306	HORWITZ_1977_S_86	1977	0	ARTICLE	4	4
307	JENKINS_1977_A_249	1977	0	ARTICLE	1	0
308	JOHANSON_1977_J_23	1977	0	ARTICLE	2	0
309	LANDIS_1977_B_159	1977	0	ARTICLE	4	4
310	LEINHARD_1977_J_1	1977	0	ARTICLE	1	2
311	MCCARTHY_1977_A_1212	1977	0	ARTICLE	1	0
312	MEYER_1977_A_340	1977	0	ARTICLE	1	0
313	MULLINS_1977_A_552	1977	0	ARTICLE	2	2
314	NELSON_1977_R_36	1977	0	ARTICLE	1	0
315	NUTINI_1977_E_353	1977	0	ARTICLE	0	4
316	SEYFARTH_1977_J_671	1977	0	ARTICLE	2	1
317	TEECE_1977_E_242	1977	0	ARTICLE	1	0
318	TUSHMAN_1977_A_587	1977	0	ARTICLE	1	0
319	TVERSKY_1977_P_327	1977	0	ARTICLE	4	2
320	VERBRUGG_1977_S_576	1977	0	ARTICLE	2	3
321	WALKER_1977_C_329	1977	0	ARTICLE	1	3
322	WALKER_1977_S_35	1977	0	ARTICLE	4	4
323	WASSERMA_1977_J_61	1977	0	ARTICLE	2	2
324	WEISSMAN_1977_A_203	1977	0	ARTICLE	4	4
325	ZACHARY_1977_J_452	1977	0	ARTICLE	2	2
326	ZUCKER_1977_A_726	1977	0	ARTICLE	1	3
327	ALBA_1978_S_167	1978	0	ARTICLE	1	2
328	ANDREWS_1978_J_307	1978	0	ARTICLE	4	4
329	ARABIE_1978_J_21	1978	0	ARTICLE	1	2
330	BEELS_1978_S_511	1978	0	ARTICLE	4	4
331	BENDER_1978_J_296	1978	0	ARTICLE	2	-1
332	BURT_1978_S_189	1978	0	ARTICLE	3	2
333	COHEN_1978_S_546	1978	0	ARTICLE	4	4
334	COOK_1978_A_721	1978	0	ARTICLE	1	0
335	CRENSON_1978_A_578	1978	0	ARTICLE	1	3
336	DICK_1978_S_195	1978	0	ARTICLE	1	0
337	DOHRENWE_1978_J_205	1978	0	ARTICLE	3	4
338	EATON_1978_J_230	1978	0	ARTICLE	4	4
339	EDER_1978_A_237	1978	0	ARTICLE	4	2
340	FREEMAN_1978_S_411	1978	0	ARTICLE	2	2
341	FRIEDKIN_1978_A_1444	1978	0	ARTICLE	3	0
342	GARBARIN_1978_C_604	1978	0	ARTICLE	0	4
343	GARBARIN_1978_J_417	1978	0	ARTICLE	4	4
344	GORE_1978_J_157	1978	0	ARTICLE	4	4
345	GOTTLIEB_1978_C_105	1978	0	ARTICLE	0	4
346	GOURASH_1978_A_413	1978	0	ARTICLE	4	4
347	GRANOVET_1978_A_1420	1978	0	ARTICLE	2	0
348	HALLINAN_1978_S_193	1978	0	ARTICLE	1	2
349	HAMMER_1978_S_522	1978	0	ARTICLE	4	4
350	HAUSMAN_1978_E_1251	1978	0	ARTICLE	4	2
351	HENDERSO_1978_B_74	1978	0	ARTICLE	4	4
352	HORWITZ_1978_S_297	1978	0	ARTICLE	4	4
353	HUSTON_1978_A_115	1978	0	ARTICLE	4	3
354	KANDEL_1978_A_427	1978	0	ARTICLE	4	2
355	KANDEL_1978_J_306	1978	0	ARTICLE	4	3
